id,hue,saturation,value,svsum,grid_x,grid_y
56_5_A,0.161706394,0.14903227,0.726535329,0.8755676,41,108
TN48.29,0.326130003,0.149054397,0.601046369,0.750100766,41,109
IMG_M.2001.9.B,0.039037552,0.149060548,0.216540534,0.365601082,41,110
85_26_18_r2,0.093643289,0.14908606,0.851364321,1.000450381,41,111
SEG_6_a,0.061231628,0.149101279,0.491381622,0.640482902,41,112
M_2006_9_5_a,0.157979987,0.149128858,0.486766034,0.635894892,41,113
A_1_784,0.128959214,0.149130384,0.635395401,0.784525785,41,114
IMG_85_24_4,0.412566161,0.149159908,0.581391518,0.730551426,41,115
TL_2015_10_2,0.091567961,0.149160129,0.735537359,0.884697488,41,116
87_20_16,0.258363499,0.149166564,0.799425852,0.948592416,41,117
74_7_C,0.107493844,0.149167786,0.909735801,1.058903586,41,118
A_1_460_r,0.105037204,0.149191829,0.692602581,0.841794411,41,119
84_33_10,0.084608406,0.149243307,0.867360206,1.016603513,41,120
IMG_78.22.57,0.117396257,0.149320188,0.411739135,0.561059323,41,121
88_9_1_a,0.109747689,0.149324677,0.816587972,0.965912649,41,122
IMG_78.38.44,0.171723546,0.149346363,0.520893953,0.670240316,41,123
79_53_A,0.21863488,0.149350569,0.568780654,0.718131222,41,124
98_8_5,0.172128754,0.149408556,0.493919815,0.643328371,41,125
M_2005_17_19,0.155284369,0.149414615,0.918468898,1.067883514,41,126
29_1_14,0.073471244,0.14944652,0.601889487,0.751336007,41,127
99_1_230,0.105904876,0.149450073,0.714745689,0.864195763,41,128
SEG_10_18_a,0.160270606,0.149453937,0.618010756,0.767464693,41,129
SL_2013_26_7,0.087852101,0.149459553,0.611295744,0.760755297,41,130
IMG_M.2006.5.112,0.105624686,0.14946211,0.499711257,0.649173368,41,131
81_31_73,0.133764954,0.149484712,0.586600925,0.736085637,41,132
78_39_3,0.111902504,0.149490887,0.869416798,1.018907685,41,133
M_2012_10_14_a,0.054651682,0.149496513,0.701121563,0.850618076,41,134
A_1_671_E_r,0.119439105,0.149542202,0.557798213,0.707340415,41,135
IMG_81.1.12.A,0.229947394,0.149603818,0.465989175,0.615592993,41,136
94_25_1,0.129631899,0.149612867,0.63914538,0.788758247,41,137
IMG_81.13.54,0.200450492,0.149639086,0.543662772,0.693301858,41,138
A_1_758_A_r,0.134488791,0.149680441,0.586823552,0.736503992,41,139
77_63_8_A_B_a,0.038786877,0.149712847,0.104921911,0.254634757,41,140
IMG_81.13.58,0.145616477,0.149725499,0.54766388,0.697389379,41,141
81_31_36,0.112743482,0.149729735,0.530588784,0.680318518,41,142
Carthage,0.02634059,0.149733235,0.901438332,1.051171567,41,143
82_21_3_A,0.214098496,0.149762717,0.653210775,0.802973492,41,144
83_33_A,0.065618715,0.149771291,0.72415309,0.873924381,41,145
A_1_125,0.163155504,0.149776569,0.660470206,0.810246775,41,146
37_2_64,0.089563714,0.149877836,0.732344322,0.882222158,41,147
TL.2017.46.98,0.453242059,0.149903779,0.652040938,0.801944717,41,148
EL_75_3_11_A_B_a,0.031238393,0.149920412,0.133907332,0.283827744,41,149
92_17_48,0.088418373,0.149959186,0.616135725,0.766094911,41,150
IMG_68.24.cs,0.16455142,0.149974722,0.655615636,0.805590358,42,0
76_29_1_a,0.274701453,0.149999973,0.590601812,0.740601784,42,1
